title,category,target_level,state,seed_url,typical_cycle
APhA Foundation Student Scholarships,national_association,PharmD,ALL,https://www.aphafoundation.org/student-scholarships,Fall (Dec)
ASHP Student Leadership Awards,national_association,PharmD,ALL,https://www.ashp.org/About-ASHP/Awards/Student-Awards,Fall (Nov)
ASHP Foundation Professional Advancement Scholarships,national_association,PharmD,ALL,https://www.ashpfoundation.org/Grants-and-Awards/Scholarships/professional-advancement-scholarships,Rolling
NCPA Foundation Presidential Scholarships,national_association,PharmD,ALL,https://www.ncpafoundation.org/scholarships,Spring (March)
LKS Educational Trust Scholarships,fraternity_sorority,PharmD,ALL,https://lks.org/educational-trust/scholarships/,Spring (Jan)
Phi Delta Chi Memorial Scholarship Foundation,fraternity_sorority,PharmD,ALL,https://www.phideltachi.org/page/Scholarships,Spring (March)
Rho Chi Society Scholarship Awards,fraternity_sorority,PharmD,ALL,https://rhochi.org/awards-scholarships/,Spring (Feb)
SNPhA National Scholarships Program,diversity_affinity,PharmD,ALL,https://snpha.org/page/scholarships,Spring (May)
VA Health Professional Scholarship Program (HPSP),public_service,PharmD,ALL,https://va-hpsp.com/,Spring (April)
IHS Health Professions Scholarship Program,public_service,PharmD,ALL,https://www.ihs.gov/scholarships/,Winter (Feb)
HRSA National Health Service Corps Scholarship,public_service,PharmD,ALL,https://nhsc.hrsa.gov/scholarships,Spring (April)
OPA Past Presidents Scholarship,national_association,PharmD,OH,https://www.ohiopharmacists.org/aws/OPA/pt/sp/awards,Winter (Jan)
